Code;svenska;shortTitle;inclusion;exclusion;criteria;consider;note
T83;Lindrig fetma;Overweight;;obesity T82;a body mass index greater than 25 but less than 30;;
T85;Hypertyreos / tyreotoxikos;Hyperthyroidism/thyrotoxicosis;"Graves disease; toxic goitre";non-toxic goitre T81;"laboratory evidence of excessive thyroid hormone; or thyroid nodule or goitre plus tremor, weight loss, and rapid pulse (over l00/min at rest) or eye signs (exophthalmos, lid lag, or ophthamoplegia)";;
T86;Hypotyreos / myxödem;Hypothyroidism/myxoedema;;cretinism T80;"laboratory evidence of diminished thyroid hormone activity and excessive thyroid stimulating hormone; or four or more of the following: weakness/tiredness; mental changes: apathy, poor memory, slowing; voice changes: coarser, deeper slower speech; undue sensitivity to cold; constipation; coarse puffy facial features; cool dry, sallow skin, decreased sweating; peripheral oedema";other complaint of metabolism T29;
T87;Hypoglykemi;Hypoglycaemia;"hyperinsulism; insulin coma";;hypoglycaemia demonstrated by biochemical testing, or characteristic symptoms in a diabetic patient relieved by ingestion or injection of sugar;;
T89;Juvenil diabetes;Diabetes insulin dependent;"juvenile onset diabetes; type 1 diabetes";"drug induced hyperglycaemia A85; hyperglycaemia as isolated finding A91; non-insulin dependent diabetes T90; gestational diabetes W85";"patient requiring regular ongoing treatment with insulin after diagnosis confirmed by one of the following:(a) the classic symptoms of diabetes, such as polyuria, polydypsia, and rapid weight loss, together with unequivocal elevation of plasma glucose (b) fasting blood glucose levels of 8mmol/l (l40mg/dl) or more on two or more occasions (c) random blood glucose levels of 11mmol/l (200mg/dl) or more on two or more occasions (d) an oral Glucose Tolerance Test (75gm glucose) with one value of plasma glucose at between one and two hours of 11mmol/l (200mg/dl) or more, and plasma glucose at two hours of 11mol/l (200mg/dl) or more; these WHO-criteria may change over time; also, criteria differences may exist between national health care systems";;1) double code complications such as retinopathy F83, nephropathy U88. 2) in pregnancy, double code with W84
T90;Vuxen diabetes;Diabetes non-insulin dependent;"diabetes NOS; late onset diabetes; type 2 diabetes";"drug induced hyperglycaemia A85; hyperglycaemia as isolated finding A91; insulin-dependent diabetes T89; gestational diabetes W85";"patient not requiring regular ongoing treatment with insulin after diagnosis confirmed by one of the following:(a) the classic symptoms of diabetes, such as polyuria, polydypsia, and rapid weight loss, together with unequivocal elevation of plasma glucose (b) fasting blood glucose levels of 8mmol/l (l40mg/dl) or more on two or more occasions (c) random blood glucose levels of 11mmol/l (200mg/dl) or more on two or more occasions(d) an oral Glucose Tolerance Test (75gm glucose) one value of plasma glucose at between one and two hours of 11mmol/l (200mg/dl) or more and plasma glucose at two hours of 11mol/l (200mg/dl) or more; these WHO-criteria may change over time; also, criteria differences may exist between national health care systems";;1) double code complications such as retinopathy F83, nephropathy U88. 2) In pregnancy, double code with W84
T91;Vaitamin- / nutritionell brist;Vitamin/nutritional deficiency;"beri-beri; dietary mineral deficiency; iron deficiency without anaemia; malnutrition; marasmus; scurvy";"iron deficiency anaemia B80; pernicious anaemia B81; malabsorption syndrome/sprue D99";;;
T92;Gikt;Gout;;"pseudo-gout/other crystal arthropathy T99; hyperuricemia T99";;;
T93;Dyslipidemi;Lipid disorder;"abnormality of lipoprotein level; hyperlipidaemia; raised level of cholesterol/triglycerides; xanthoma";;;;
T99;Annan endokrin/metabolisk/nutrit. sjukdom;Endocr/metab/nutrit disease other;"acromegaly; adrenal/ovarian/ pituitary/parathyroid/ testicular/other endocrine dysfunction; amyloidosis; crystal arthropathy; Cushing's syndrome; cystic fibrosis; diabetes insipidus; Gilbert's syndrome; hyperaldosteronism; osteomalacia; porphyria; precocious/delayed puberty; pseudo-gout; raised uric acid; renal glycosuria; thyroiditis";"food allergy A92; food intolerance D99; osteoporosis L95";;;
U01;Smärta vid urinering / dysuri;Dysuria/painful urination;burning urination;"frequent/urgent urination U02; urethritis U72";;;
U02;Täta urinträngningar / pollakisuri;Urinary frequency/urgency;"nocturia; polyuria";;;;
U04;Urininkontinens;Incontinence urine;"enuresis of organic origin; involuntary urination; stress incontinence";urine incontinence of psychogenic origin P12;;;
U05;Annat urineringsproblem;Urination problems other;"anuria; dribbling urine; oliguria";urinary retention U08;;;
U06;Blod i urinen;Haematuria;blood in urine;;blood in urine proven by macroscopic/microscopic/chemical test;;
U07;Annat urinsymptom/ -besvär;Urine symptom/complaint other;"bad odour of urine; dark urine";abnormal urine test U98;;;
U08;Urinretention;Urinary retention;;;;;
U13;Annat urinblåsesymptom/ -besvär;Bladder symptom/complaint other;"bladder pain; irritable bladder";;;;
U14;Njursymptom / -besvär;Kidney symptom/complaint;"kidney pain; kidney trouble; renal colic";loin/flank pain L05;;;
U26;Rädsla för urinvägscancer;Fear of cancer of urinary system;;if the patient has the disease, code the disease;concern about/fear of urinary cancer in a patient without the disease/until the diagnosis  is proven;;
U27;Rädsla för annan urinvägssjukdom;Fear of urinary disease other;;"fear of cancer of urinary system U26; if the patient has the disease, code the disease";concern about/fear of other urinary disease in a patient without the disease/until the diagnosis is proven;;
U28;Funktionsbegränsning / handikapp (U);Limited function/disability (U);"renal transplant; slow stream";urinary incontinence U04;limitation of function/disability due to a urinary problem;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
U29;Annat urinorganssymptom / -besvär;Urinary symptom/complaint other;;"irritable bladder/bladder pain U13; kidney symptom/complaint U14";;;
U70;Pyelonefrit / njurbäckeninflammation;Pyelonephritis/pyelitis;"infection of kidney; renal/perinephric abscess";;"two of  the following: flank pain, renal tenderness, investigation evidence of chronic renal damage; plus clinical or laboratory evidence of urinary tract infection";cystitis/other urinary infection U71;
U71;Cystit / blåskatarr/annan urinvägsinfektion;Cystitis/urinary infection other;"acute/chronic cystitis (non-venereal); asymptomatic bacteriuria; lower urinary tract infection; urinary tract infection NOS";"pyelonephritis U70; urethritis U72; vaginitis X84; balanitis Y75";;;in pregnancy also code W84
U72;Uretrit;Urethritis;"chlamydial urethritis in man; meatitis; nonspecific urethritis; urethral syndrome";"gonococcal urethritis female X71; urethritis trichomonal female X73; urethritis chlamydial female X92; gonococcal urethritis male Y71";"urethral discharge with frequency, burning, pain or urgency on urination without bacteriuria by microscopy or culture; or inflammation of external urinary meatus";"painful urination U01; frequent/urgent urination U02; irritable bladder U13; urethral discharge X29; urethral discharge Y03";
U75;Malign njurtumör;Malignant neoplasm of kidney;;;characteristic histologic appearance;neoplasm urinary tract NOS U79;
U76;Malign blåstumör;Malignant neoplasm of bladder;;;characteristic histologic appearance;neoplasm urinary tract NOS U79;
U77;Benign tumör i urinvägarna;Malignant neopl urinary tract other;"malignant neoplasm ureter; malignant neoplasm urethra";malignant neoplasm prostate Y77;characteristic histologic appearance;neoplasm urinary tract NOS U79;
U78;tumör i urinvägarna UNS;Benign neoplasm urinary tract;"bladder papilloma; polyp of urinary tract";prostatic hypertrophy Y85;characteristic histologic appearance;neoplasm urinary tract NOS U79;
U79;tumör i urinvägarna UNS;Neoplasm urinary tract unspecified;neoplasm of bladder/kidney/ureter/urethra not specified as benign or malignant/when histology is not available;"malignant neoplasm kidney U75; malignant neoplasm bladder U76; other malignant urinary neoplasm U77; benign urinary neoplasm U78";;;
U80;Skada på urinorgan;Injury urinary tract;"contusion kidney; foreign body in urinary tract";;;;
U85;Medfödd missbildning i urinvägarna ;Congenital anomaly urinary tract;"congenital polycystic kidney; duplex kidney/ureter";;;;
U88;Glomerulonefrit / nefros;Glomerulonephritis/nephrosis;"acute glomerulonephritis; analgesic nephropathy; chronic glomerulo-nephritis; nephritis; nephropathy; nephrosclerosis; nephrotic syndrome";renal failure U99;"three or more of the following: hematuria, proteinuria, renal salt and water retention, decreased renal function, persistent urinary sediment abnormalities; or renal biopsy evidence";"kidney symptom/complaint U14; abnormal urine test result U98";
U90;Ortostatisk albuminuri;Orthostatic albuminuria/proteinuria;postural proteinuria;;albuminuria following ambulation, no albuminuria following overnight recumbency and no evidence of renal disease;proteinuria NOS U98;
U95;Sten i urinvägarna;Urinary calculus;"calculus/stone in bladder/kidney/ureter; urolithiasis";;"colicky pain and either haematuria or history of urinary stone in the past; or passage of calculus; or imaging evidence of calculus";"blood in urine U06; renal colic U14; other urinary symptom U29; abnormal urine test U98";
U98;Avvikande urinprov UNS;Abnormal urine test NOS;"glycosuria; proteinuria; pus in urine; pyuria";"haematuria/blood in urine U06; orthostatic albuminuria/proteinuria U90";;;
U99;Annan sjukdom i urinvägarna;Urinary disease other;"bladder diverticulum; hydronephrosis; hypertrophic kidney; obstruction bladder neck; renal failure; uraemia; ureteric reflux; urethral caruncle; urethral stricture";;;;
W01;Eventuell graviditet;Question of pregnancy;"delayed menstruation; symptoms suggestive of pregnancy";"fear of pregnancy W02; pregnancy confirmed W78; pregnancy confirmed (unwanted pregnancy) W79";;;
W02;Graviditetsrädsla;Fear of pregnancy;concern about possibility of unwanted pregnancy;concern/fear if unwanted pregnancy confirmed W79;;;
W03;Blödning under graviditet;Antepartum bleeding;threatened abortion;;;;
W05;Uppkastning / illamående under graviditet ;Pregnancy vomiting/nausea;"hyperemesis gravidarum; morning sickness in confirmed pregnancy";;;;
W10;Postkoital konception;Contraception postcoital;morning after pill;;;;
W11;Kontraception med p-piller;Contraception oral;family planning in women using oral hormonal therapy;;;;
W12;Intrauterin kontraception;Contraception intrauterine;family planning using IUD;;;;
W13;Sterilisering;Sterilization female;family planning involving female sterilization;;;;
W14;Annan kontraception;Contraception female other;"contraception NOS; family planning NOS";"genetic counseling A98; oral contraception W11; IUD W12; family planning by female sterilization W13";;;
W15;Infertilitet / subfertilitet;Infertility/subfertility female;primary and secondary sterility;;failure to conceive after 2 years of trying;Pregnancy symptom/complaint, other W29;
W17;Post-partum blödning;Post-partum bleeding;;;heavy bleeding at or within 6 weeks of parturition;other post-partum complaints W18;
W18;Annat post-partum-symptom / -besvär ;Post-partum symptom/complaint other;;"puerperal depression P76; post-partum bleeding W17; lactation complaints W19; complications of puerperium W96";complaints related to and within six weeks of parturition;;
W19;Amningssymptom / -besvär;Lactation symptom/complaint;"galactorrhoea; suppression of lactation; weaning";"puerperal mastitis W94; cracked nipples W95";;;
W21;Bekymmer för utseende under graviditet ;Concern with body image in pregnancy;;;;;
W27;Rädsla för graviditetskomplikation;Fear of complications of pregnancy;fear of congenital anomaly in baby;if the patient has the complication, code the complication;concern about/fear of complications in a patient without them/until they are proven;;
W28;Funktionsbegränsning / handikapp (W) ;Limited function/disability (W);pelvic instability;;limitation of function/disability due to or related to pregnancy;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
W29;Annat symptom / besvär betr. graviditet ;Pregnancy symptom/complaint other;family planning symptom/complaint other;;;;
W70;Barnsängsfeber / sepsis;Puerperal infection/sepsis;;obstetric tetanus N72;infection of birth canal or reproductive organs within 6 weeks of parturition;;
W71;Infektion, som komplicerar graviditet;Other infect complic pregn/puerp;;"puerperal infection W70; puerperal mastitis W94";;;
W72;Malign tumör relaterad till graviditet;Malignant neopl related to pregnancy;"choriocarcinoma; chorioepithelioma";;;;
W73;Godartad eller tumör UNS under graviditet ;Benign/unspecif neopl relat to pregn;"benign neoplasm related to pregnancy; hydatidiform mole; neoplasm related to pregnancy not specified as benign or maligant/when histology is not available";;;;
W75;Skada, som komplicerar graviditet;Injury complicating pregnancy;results of injury interfering with pregnancy;"new injury caused by childbirth (complicated labour/delivery livebirth) W92; new injury caused by childbirth (complicated labour/delivery stillbirth) W93";;;
W76;Medfödd missbildning, som komplicerar ;Congen anom complicating pregnancy;maternal anomaly which could affect pregnancy/childbirth;;;;
W78;Graviditet;Pregnancy;;"unwanted pregnancy W79; ectopic pregnancy W80; high risk pregnancy W84";;;
W79;Oönskad graviditet;Unwanted pregnancy;;;;;
W80;Extrauterin graviditet;Ectopic pregnancy;;;confirmation by ultrasound, laparoscopy, culdoscopy or surgery;"antepartum bleeding W03; Pregnancy symptom/complaint, other W29";
W81;Graviditetstoxemi;Toxaemia of pregnancy;"eclampsia; hypertension in pregnancy; pre-eclampsia; proteinuria and oedema in pregnancy";pre-existing hypertension K86;;Pregnancy symptom/complaint, other W29;
W82;Spontan abort;Abortion spontaneous;"abortion complete/incomplete/missed/habitual; miscarriage";"antepartum bleeding W03; induced abortion W83; premature contractions after the 28th week of pregnancy W92; foetal death/stillbirth after the 28th week of pregnancy W93";;;
W83;Inducerad abort;Abortion induced;termination of pregnancy, all complications;;;;
W84;Högriskgraviditet;Pregnancy high risk;"aged primipara; anaemia of pregnancy; diabetes/other pre-existing chronic disease affecting pregnancy; disproportion; hydramnios; malpresentation; multiple pregnancy; placenta praevia; premature labour; previous caesarian section; small foetus for age";"infections complicating pregnancy W71; ectopic pregnancy W80; toxaemia of pregnancy W81; gestational diabetes W85";;;
W85;Diabetes under graviditet;Gestational diabetes;diabetes manifested during pregnancy;"pre-existing diabetes (Diabetes insulin dependent) T89; pre-existing diabetes (Diabetes non-insulin dependent) T90";Current WHO criteria for gestational diabetes;hyperglycaemia A91;
W90;Normal förlossning, levande född;Uncompl labour/delivery livebirth;;;;;
W91;Normal förlossning, dödfödd;Uncompl labour/delivery stillbirth;;;;;
W92;Komplicerad förlossning, levande född ;Compl labour/ delivery livebirth;livebirth after complicated delivery: assisted extraction, breech delivery, caesarian section, dystocia, induction of labour, injuries caused by childbirth, placenta praevia in delivery, version;"post-partum haemorrhage W17; eclampsia W81";;;
W93;Komplicerad förlossning, dödfödd;Compl labour/delivery stillbirth;stillbirth after complicated delivery: assisted extraction, breech delivery, caesarian section, dystocia, induction of labour, injuries caused by childbirth, placenta praevia in delivery, version;"post-partum haemorrhage W17; eclampsia W81";;;
W94;Bröstinfektion / mastit under puerperiet ;Puerperal mastitis;breast abscess;mastitis (puerperal/non-lactating) X21;pain, inflammation of breast within 6 weeks of parturition or while lactating;disorders of lactation W19;
W95;Annan bröstkörtelrubbing, gravid./amning ;Breast dis in pregn/puerperium other;"breast disorder in puerperium; cracked nipple";"disorders of lactation W19; mastitis W94; breast problem not related to pregnancy/lactation X21";;;
W96;Annan puerperal komplikation;Complications of puerperium other;;"puerperal depression P76; puerperal psychosis P98; puerperal infection W70; toxaemia of pregnancy W81; breast disorder in pregnancy W95";;;
W99;Annan graviditets/förlossnings/puerperal rubbning;Disorder of pregn/delivery other;;pseudocyesis P75;;;
X01;Smärta i genitalier hos kvinna ;Genital pain female;"pelvic pain; vulval pain";"menstrual pain X02; dyspareunia female X04; breast pain female X18";;;
X02;Smärtsam menstruation;Menstrual pain;dysmenorrhoea;;;;
X03;Smärta mellan menstruationer ;Intermenstrual pain;"Mittelschmerz; ovulation pain";;;;
X04;Smärtsamt samlag;Painful intercourse female;"female dyspareunia; vaginismus NOS";"psychogenic sexual problems (sexual desire reduced) P07; psychogenic sexual problems (sexual fulfilment reduced) P08";;;
X05;Menstruation, utebliven / sparsam;Menstruation absent/scanty;"amenorrhoea; delayed/late menses; oligomenorrhoea";"question of pregnancy W01; fear of pregnancy W02";;;
X06;Riklig menstruation;Menstruation excessive;"menorrhagia; pubertal bleeding";;;;
X07;Oregelbunden / frekvent menstruation ;Menstruation irregular/frequent;polymenorrhoea;menorrhagia/pubertal bleeding X06;;;
X08;Intermenstruell blödning;Intermenstrual bleeding;"breakthrough bleeding; dysfunctional uterine bleeding; metrorrhagia; ovulation bleeding; spotting";"post-menopausal bleeding X12; post-coital bleeding X13";;;
X09;Premenstruella symptom;Premenstrual symptom/complaint;;premenstrual tension syndrome X89;;;
X10;Utsättande av menstruation;Postponement of menstruation;;;postponement of the expected regular menstruation by hormonal treatment;;
X11;Menopausalt symptom / komplikation;Menopausal symptom/complaint;"atrophic vaginitis; menopause syndrome; senile vaginitis; symptom/complaint related to menopause";postmenopausal bleeding X12;;;
X12;Postmenopausal blödning;Postmenopausal bleeding;;;vaginal bleeding following either at least six months amenorrhoea or demonstration of menopause by appropriate laboratory test;irregular menstruation X07;
X13;Blödning efter samlag;Postcoital bleeding;contact bleeding;;;;
X14;Flytning ur slidan;Vaginal discharge;"fluor vaginalis; leukorrhoea";"vaginal bleeding (menstruation excessive) X06; vaginal bleeding (menstruation irregular/frequent) X07; vaginal bleeding (intermenstrual bleeding) X08; atrophic vaginitis X11; gonorrhoea female X71; urogenital candidiasis female X72; urogenital trichomoniasis female X73; chlamydia genital female X92";;;
X15;Annat vaginalt symptom / besvär;Vaginal symptom/complaint other;vaginal dryness;"female genital pain X01; organic vaginismus X04; atrophic vaginitis X11";;;
X16;Vulvasymptom / -besvär;Vulval symptom/complaint;"vulval dryness; vulval pruritus";"vulval pain X01; abscess vulva X99";;;
X17;Bäckensymptom / -besvär hos kvinna;Pelvis symptom/complaint female;;genital pain female X01;;;
X18;Smärta i kvinnlig bröstkörtel;Breast pain female;mastodynia;breast pain in pregnancy/lactation W19;;;
X19;Knöl i kvinnlig bröstkörtel;Breast lump/mass female;lumpy breasts;;;;
X20;Symptom / besvär i kvinnlig bröstvårta ;Nipple symptom/complaint female;"nipple discharge; nipple fissure; nipple pain/pruritus; nipple retraction";nipple symptom/complaint in pregnancy/lactation W19;;;
X21;Annat symptom i kvinnlig bröstkörtel;Breast sympt/compl female other;"galactorrhoea; mastitis (non lactating); mastopathy";mastitis (lactating) W94;;;
X22;Problem med bröstutseende hos kvinna ;Concern breast appearance fema;;;;;
X23;Rädsla hos kvinna för könssjukdom;Fear sexually transm dis female;;"fear of HIV/AIDS B25; if the patient has the disease, code the disease";concern about/fear of sexually transmitted disease in a patient without the disease/until the diagnosis is proven;;
X24;Rädsla för sexuell dysfunktion hos kvinna ;Fear of sexual dysfunction female;;"Sexual desire reduced P07; Sexual fulfilment reduced P08";concern about/fear of sexual dysfunction in a patient without sexual dysfunction;;
X25;Rädsla för cancer i kvinnliga genitalier ;Fear of genital cancer female;;if patient has the disease, code the disease;concern about/fear of female genital cancer in a patient without the disease/until the diagnosis is proven;;
X26;Rädsla för bröstcancer hos kvinna;Fear of breast cancer female;;if patient has the disease, code the disease;concern about/fear of female breast cancer in a patient without the disease/until the diagnosis is proven;;
X27;Rädsla för annan bröstsjukdom hos kvinna ;Fear genital/breast dis female other;;"fear of female genital cancer X25; fear of female breast cancer X26; if patient has the disease, code the disease";concern about/fear of other female genital/breast disease in a patient without the disease/until the diagnosis is proven;;
X28;Funktionsbegränsing / handikapp (X);Limited function/disability (X);;"Sexual desire reduced P07; Sexual fulfilment reduced P08; painful intercourse female/ vaginismus X04";limitation of function/disability due to a problem of the female genital system (including breast);;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
X29;Annat symptom i kvinnliga genitalia;Genital sympt/compl female other;urethral discharge in female;;;;
X70;Syfilis hos kvinna;Syphilis female;syphilis any site;;demonstration of Treponema pallidum on microscopy, or positive serological test for syphilis;;
X71;Gonorré hos kvinna;Gonorrhoea female;gonorrhea any site;;"purulent vaginal discharge in a patient after a contact with a proven case; or gram negative intra-cellular diplococci demonstrated in discharge; or culture of Neisseria gonorrhea";"urethritis U72; urethral discharge female X29";
X72;Urogenital moniliasis;Genital candidiasis female;"monilial infection of vagina/cervix; thrush";;"inflamed urogenital mucosa or skin with characteristic white adherent exudate; or demonstration of candida";"vaginal discharge X14; vaginitis X84";
X73;Urogenital trichomoniasis;Genital trichomoniasis female;;;"characteristic foul smelling discharge; or demonstration of trichomonads on microscopy";"vaginal discharge X14; vaginitis X84";
X74;Inflammation i bäckenorgan hos kvinna ;Pelvic inflammatory disease;"endometritis; oophoritis; salpingitis";"Syphilis female X70; Gonorrhoea female X71; Genital candidiasis female X72; Genital trichomoniasis female X73; Chlamydia infection genital female X92";lower abdominal pain with marked tenderness of uterus or adnexa by palpation, plus other evidence of inflammation;pelvic congestion syndrome X99;
X75;Malign tumör i cervix;Malignant neoplasm cervix;;"carcinoma-in-situ cervix X81; cervical intraepithelial neoplasia (CIN) grade 3 X81; abnormal  cervix smear (CIN) grades 1 and 2 X86";characteristic histological appearance;;
X76;Malign tumör i bröstkörtel hos kvinna;Malignant neoplasm breast female;intraductal carcinoma;;characteristic histological appearance;breast lump X19;
X77;Annan malign tumör i kvinnliga genitalia ;Malignant neopl genital female other;"malignancy of adnexae; malignancy of ovaries; malignancy of uterus; malignancy of vagina; malignancy of vulva";"carcinoma-in-situ cervix X75; other female genital carcinoma-in-situ X81";characteristic histological appearance;other/unspecified female genital neoplasm X81;
X78;Myom i livmodern;Fibromyoma uterus;"fibroid uterus; fibromyoma of cervix; leiomyoma; myoma";;enlargement of the uterus not due to pregnancy or malignancy, with single or multiple firm tumours of the uterus;;
X79;Benign tumör i bröst;Benign neoplasm breast female;fibroadenoma;cystic disease of breast X88;characteristic histological appearance;lump in female breast X19;
X80;Annan benign tumör i kvinnliga genitalia ;Benign neoplasm female genital;;physiological cyst of ovary X99;;;
X81;Annan /odef. tumör i kvinnliga genitalia ;Genital neopl female other/unspecif;"other carcinoma-in-situ; other genital female neoplasm not specified as benign or malignant/when histology is not available";endometrial polyp X99;;;
X82;Skador på kvinnliga genitalia;Injury genital female;"female circumcision; foreign body in vagina";"genital injury due to childbirth (Complicated labour/delivery livebirth) W92; genital injury due to childbirth (Complicated labour/delivery stillbirth) W93";;;
X83;Medfödd missbildning i kvinnliga genitalia ;Congenital anomaly genital female;"hermaphrodytism; imperforate hymen";other genetic syndrome A90;;;
X84;Vaginit / vulvit UNS;Vaginitis/vulvitis NOS;"gardnerella; vaginosis";"atrophic vaginitis X11; genital candidiasis female X72; genital trichomoniasis female X73";;;
X85;Cervixsjukdom UNS;Cervical disease NOS;"cervical erosion; cervical leukoplakia; cervicitis; mucous cervical polyp; old laceration of cervix";"abnormality of cervix in pregnancy/childbirth/puerperium W76; abnormal cervix smear X86";;;
X86;Avvikande fynd i utstrykspreparat;Abnormal cervix smear;"cervical dysplasia; cervical intraepithelial neoplasia (CIN) grades 1 and 2";cervical intraepithelial neoplasia (CIN) grade 3 X81;;;
X87;Uterovaginal prolaps;Uterovaginal prolapse;"cystocoele; procidentia; rectocoele";stress incontinence U04;;;
X88;Cystisk mastopati;Fibrocystic disease breast;"chronic cystic disease of breast; cystic fibroadenosis of breast; dysplasia of breast; solitary cyst of breast";;;;
X89;Premenstruellt spänningssyndrom;Premenstrual tension syndrome;;;"cyclic occurrence in the menstrual cycle of two or more of  the following: oedema; breast tenderness/swelling; headache; irritability; mood changes";premenstrual symptom X09;
X90;Genital herpes hos kvinna;Genital herpes female;ano-genital herpes simplex;;small vesicles with characteristic appearance and location which evolve to painful ulcers and scabs;;
X91;Kondylom i kvinnliga genitalia;Condylomata acuminata female;"human papilloma virus infection; venereal warts";;characteristic appearance of lesions, or characteristic histological appearance;;
X92;Klamydiainfektion i kvinnliga genitalia;Chlamydia infection genital female;;;proven chlamydial infection;;
X99;Annan sjukdom i kvinnliga genitala;Genital disease female other;"Bartholin’s cyst/abscess; endometriosis; genital tract fistula female; pelvic congestion syndrome; physiological ovarian cyst";sexually transmitted disease NOS A78;;;
Y01;Smärta i penis;Pain in penis;;priapism/painful erection Y08;;;
Y02;Smärta i testis / scrotum;Pain in testis/scrotum;"pain pelvis; pain perineum";;;;
Y03;Flytning från penis / urinrör;Urethral discharge male;;;;;
Y04;Annat symptom / besvär i penis;Penis symptom/complaint other;foreskin symptom/complaint;"pain in penis Y01; painful erection/priapism Y08";;;
Y05;Annat symptom / besvär i testis / scrotum;Scrotum/testis sympt/compl other;lump in testis;pain in testis/scrotum Y02;;;
Y06;Prostatasymptom / -besvär;Prostate symptom/complaint;prostatism;"urinary frequency/urgency U02; urinary retention U08";;;
Y07;Impotens;Impotence NOS;impotence of organic origin;"reduced sexual desire P07; psychogenic impotence/reduced sexual fulfilment P08";;;
Y08;Sexuell funktion, symptom / besvär hos man;Sexual function sympt/compl male;"painful erection; priapism";"reduced sexual desire P07; psychogenic impotence/reduced sexual fulfilment P08; impotence of organic origin Y07";;;
Y10;Infertilitet / subfertilitet hos man;Infertility/subfertility male;;;failure of conception after 2 years of trying;;
Y13;Sterilisering hos man;Sterilization male;family planning involving male sterilization;;;;
Y14;Annan manlig preventivrådgivning;Family planning male other;"contraception NOS; family planning NOS";genetic counseling A98;;;
Y16;Symptom / besvär i manlig bröstkörtel;Breast symptom/complaint male;"gynaecomastia; lump breast";disease of male breast Y99;;;
Y24;Rädsla för sexuell dysfunktion hos man;Fear of sexual dysfunction male;;if the patient has sexual dysfunction, code the condition;concern about/fear of sexual dysfunction in a patient without the condition;;
Y25;Rädsla hos man för könssjukdom;Fear sexually transm disease male;;"fear of HIV/AIDS B25; in a patient with the disease, code the disease";concern about/fear of venereal disease in a patient without the disease/until the diagnosis is proven;;
Y26;Rädsla för cancer i manliga genitalia;Fear of genital cancer male;;in a patient with the disease, code the disease;concern about/fear of cancer in a patient without the disease/until the diagnosis is proven;;
Y27;Rädsla för annan sjukdom i manliga genitalia;Fear of genital disease male other;;"fear of sexually transmitted disease Y25; fear of male genital cancer Y26; in a patient with the disease, code the disease";concern about/fear of other genital disease in a patient without the disease/until the diagnosis is proven;;
Y28;Funktionsbegränsing / handikapp (Y);Limited function/disability (Y);;"Sexual desire reduced P07; Sexual fulfilment reduced P08; impotence NOS Y07";limitation of function/disability due to a problem of the male genital system (including breast);;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
Y29;Annat symptom /besvär i manliga genitalia;Genital symptom/complaint male other;;;;;
Y70;Syfilis hos man;Syphilis male;syphilis any site;;"demonstration of Treponema pallidum on microscopy; or positive serological test for syphilis";;
Y71;Gonorré hos man;Gonorrhoea male;gonorrhoea any site;;urethral or rectal discharge with gram-negative intracellular diplococci demonstrated in a patient after a contact with a proven case, or Neisseria gonorrhoea cultured;"urethritis U72; urethral discharge Y03";
Y72;Genital herpes hos man;Genital herpes male;anogenital herpes;;small vesicles with characteristic appearance and location which evolve to painful ulcers and scabs;;
Y73;Prostatit / prostatovesiculit;Prostatitis/seminal vesiculitis;;;tenderness of prostate/seminal vesicles to palpation, and indications of inflammation in urine test;;
Y74;Orkit / epididymit;Orchitis/epididymitis;;"tuberculosis A70; mumps D71; gonococcal orchitis Y71; torsion of testis Y99";both swelling and tenderness of testis/epididymis, and absence of a specific aetiology (mumps, gonococcal, tuberculosis, trauma, or torsion);symptom of testis Y05;
Y75;Balanit;Balanitis;candidiasis glans penis;"scabies S72; male syphilis Y70; male gonorrhea Y71; male genital herpes Y72";signs of inflammation of the prepuce/glans penis;;
Y76;Condylom hos man;Condylomata acuminata male;"human papilloma virus infection; venereal warts";;characteristic appearance of lesions, or characteristic histological appearance;;
Y77;Malign tumör i prostata;Malignant neoplasm prostate;;;characteristic histological appearance;benign/unspecified neoplasm male genital Y79;
Y78;Annan malign tumör i manliga genitalia;Malign neopl male genital other;"carcinoma breast; carcinoma testis/seminoma";;characteristic histological appearance;benign/unspecified neoplasm male genital Y79;
Y79;Benign tumör i manliga genitalia;Benign/unspecif neopl male genital;"benign genital neoplasm; benign neoplasm male breast; carcinoma-in-situ; fibroma; genital neoplasm not specified as benign or malignant/when histology is not available";benign prostatic hypertrophy Y85;;;
Y80;Skada på manliga könsorgan;Injury male genital;;;;;
Y81;Förhudsförträngning / överflödig förhud;Phimosis/redundant prepuce;paraphimosis;;1) for redundant prepuce: excessive length of prepuce, with inability to retract over the glans penis. 2) for phimosis: tightness of the prepuce which prevents retraction over the glans penis;;
Y82;Hypospadi;Hypospadias;;;;;
Y83;Retinerad testikel / kryptorkism;Undescended testicle;cryptorchidism;retractile testis Y84;the testicle has never been observed in the scrotum, and the testicle cannot be manipulated into the scrotum;;
Y84;Annan medfödd missbildning (manl.genit);Congenital genital anom male other;"hermaphroditism; retractile testis";;;;
